datetime,0,1,2,3,4,5,7,B,E,main contact,
2018-04-16 13:42:42.0,,,-69,,,,,,,2
2018-04-16 13:42:43.0,,,-67,,,,,,,2
2018-04-16 13:42:44.0,,,-64,,,,,,,2
2018-04-16 13:42:45.0,,,-64,,,,,,,2
2018-04-16 13:42:46.0,,,-64,,,,,,,2
2018-04-16 13:42:47.0,,,-64,,,,,,,2
2018-04-16 13:42:48.0,,,-64,,,,,,,2
2018-04-16 13:42:49.0,,,-66,,,,,,,2
2018-04-16 13:42:50.0,,,-65,,,,,,,2
2018-04-16 13:42:51.0,,,-67,,,,,,,2
2018-04-16 13:42:52.0,,,-66,,,,,,,2
2018-04-16 13:42:53.0,,,-64,,,,,,,2
2018-04-16 13:42:54.0,,,-66,,,,,,,2
2018-04-16 13:42:55.0,,,-66,,,,,,,2
2018-04-16 13:42:56.0,,,-65,,,,,,,2
2018-04-16 13:42:57.0,-60,-57,-65,-66,-57,,,,,4
2018-04-16 13:42:58.0,-60,-60,-67,-64,-57,-67,,,,4
2018-04-16 13:42:59.0,-60,-58,-67,-64,-59,-63,,,,1
2018-04-16 13:43:00.0,-60,-57,-66,-64,-59,-63,,,-63,1
2018-04-16 13:43:01.0,-61,-58,-66,-57,-61,-63,,,-63,3
2018-04-16 13:43:02.0,-61,-57,-66,-56,-60,-65,,,-65,3
2018-04-16 13:43:03.0,-65,-57,-66,-60,-58,-64,,,-65,1
2018-04-16 13:43:04.0,-64,-57,-67,-59,-58,-63,,,-65,1
2018-04-16 13:43:05.0,-64,-58,-65,-57,-58,-65,,-64,-65,3
2018-04-16 13:43:06.0,-62,-55,-65,-57,-56,-65,,-64,-65,1
2018-04-16 13:43:07.0,-60,-56,-66,-63,-60,-64,,-64,-65,1
2018-04-16 13:43:08.0,-60,-56,-66,-63,-60,-66,,-64,-65,1
2018-04-16 13:43:09.0,-62,-56,-64,-65,-59,-66,,-64,-65,1
2018-04-16 13:43:10.0,-61,-58,-64,-62,-63,-67,,-64,-65,1
2018-04-16 13:43:11.0,-61,-58,-65,-60,-61,-67,,-64,-65,1
2018-04-16 13:43:12.0,-66,-56,-64,-61,-62,-66,,-64,-65,1
2018-04-16 13:43:13.0,-63,-57,-65,-62,-63,-66,,-64,-65,1
2018-04-16 13:43:14.0,-62,-57,-65,-62,-63,-66,,-64,-66,1
2018-04-16 13:43:15.0,-60,-56,-63,-61,-64,-66,,-64,-66,1
2018-04-16 13:43:16.0,-60,-57,-63,-60,-64,-67,,-66,-66,1
2018-04-16 13:43:17.0,-60,-58,-63,-61,-61,-65,,-66,-66,1
2018-04-16 13:43:18.0,-62,-56,-63,-64,-63,-64,,-66,-65,1
2018-04-16 13:43:19.0,-62,-57,-64,-66,-63,-66,,-66,-65,1
