datetime,2,3,4,5,7,8,9,B,main contact,
2018-04-16 13:30:04.0,-59,-46,-61,-59,-25,-63,-64,,7
2018-04-16 13:30:05.0,-63,,-54,-63,-27,-65,-61,,7
2018-04-16 13:30:06.0,,,-60,-64,,,,,4
2018-04-16 13:30:07.0,,,,,-27,,-62,,7
2018-04-16 13:30:08.0,-63,-44,-55,-62,-27,-69,-57,-59,7
2018-04-16 13:30:09.0,-67,-53,-55,-66,-24,,-57,,7
2018-04-16 13:30:10.0,-67,-43,-63,-63,-25,-68,-59,,7
2018-04-16 13:30:11.0,-63,-39,-58,-65,-27,-68,-62,,7
2018-04-16 13:30:12.0,-62,-45,-56,-66,-24,-62,,,7
2018-04-16 13:30:13.0,-68,-56,-67,-58,-27,,-60,,7
2018-04-16 13:30:14.0,-62,-48,,-60,-28,-68,,,7
2018-04-16 13:30:15.0,,-61,-59,-62,-24,-63,,,7
2018-04-16 13:30:16.0,,-58,-69,-68,-25,-63,,,7
2018-04-16 13:30:17.0,-62,-55,-63,-64,-27,-61,,,7
2018-04-16 13:30:18.0,-64,-69,-65,,-24,-60,,,7
2018-04-16 13:30:19.0,,-60,-67,-65,-25,-63,-58,-63,7
2018-04-16 13:30:20.0,-64,-57,-61,-63,-27,-58,-57,,7
2018-04-16 13:30:21.0,-59,-65,,-60,-24,-62,-64,,7
2018-04-16 13:30:22.0,,-62,-57,-65,-25,-61,,,7
2018-04-16 13:30:23.0,-66,-60,-51,-63,-28,-59,-60,,7
2018-04-16 13:30:24.0,-63,-67,-60,-60,-24,-59,-63,,7
2018-04-16 13:30:25.0,-61,-65,-67,-55,-27,-60,-63,-64,7
2018-04-16 13:30:26.0,-66,-64,-69,-63,-27,-62,-64,,7
2018-04-16 13:30:27.0,-59,-53,-67,-60,-24,-60,-64,,7
2018-04-16 13:30:28.0,-66,-57,,-66,-27,-62,-62,,7
2018-04-16 13:30:29.0,-62,-62,-66,-67,-27,-64,-66,,7
2018-04-16 13:30:30.0,-59,-61,-55,-64,-24,-62,,-66,7
2018-04-16 13:30:31.0,-63,-68,-56,,-25,-64,-64,,7
2018-04-16 13:30:32.0,-67,-68,-65,-63,-27,,-63,,7
2018-04-16 13:30:33.0,,,-65,-60,-24,-60,-62,,7
2018-04-16 13:30:34.0,-68,-65,-59,-53,,-66,-59,,5
2018-04-16 13:30:35.0,-61,,-59,-57,,-62,-56,,9
2018-04-16 13:30:36.0,-64,-63,-59,-60,,-62,-61,,4
2018-04-16 13:30:37.0,-63,,-60,-59,,-62,-60,,5
2018-04-16 13:30:38.0,-64,-63,-57,-67,,-65,-59,,4
2018-04-16 13:30:39.0,,-62,-50,-65,-27,-64,,,7
2018-04-16 13:30:40.0,,,,,,,,,7
2018-04-16 13:30:41.0,,,,,,,,,7
2018-04-16 13:30:42.0,,,,,,,,,7
2018-04-16 13:30:43.0,,,,,,,,,7
2018-04-16 13:30:44.0,-62,-68,-63,-62,-25,-66,-57,,7
2018-04-16 13:30:45.0,-58,-58,-64,-63,-27,-63,-59,,7
2018-04-16 13:30:46.0,-64,-64,-58,-55,-24,-63,,-66,7
2018-04-16 13:30:47.0,,-61,,-67,-25,-69,-63,,7
2018-04-16 13:30:48.0,-61,-57,-63,-63,-28,-60,-59,,7
2018-04-16 13:30:49.0,,-63,-66,-63,-24,-60,-61,,7
2018-04-16 13:30:50.0,-69,-68,-66,-65,-27,-68,-54,,7
2018-04-16 13:30:51.0,-60,-63,-62,-63,-27,-60,-62,,7
2018-04-16 13:30:52.0,,-57,-67,-64,-24,,-64,-66,7
2018-04-16 13:30:53.0,-66,-67,-54,-67,-25,-68,-60,,7
2018-04-16 13:30:54.0,-61,-65,-48,-59,-28,-65,-56,,7
2018-04-16 13:30:55.0,,-57,-53,,-28,-65,-60,,7
2018-04-16 13:30:56.0,-64,-57,-67,-61,-25,,-60,,7
2018-04-16 13:30:57.0,-63,-60,-64,-69,-27,-61,-63,-59,7
2018-04-16 13:30:58.0,-63,-60,-66,-66,,-62,-64,,3
2018-04-16 13:30:59.0,-67,,-62,-68,-25,-66,-64,,7
2018-04-16 13:31:00.0,-61,,-61,-69,-27,-62,-65,,7
2018-04-16 13:31:01.0,,-65,-62,-67,-24,-60,-62,,7
2018-04-16 13:31:02.0,-63,-62,-54,-67,-25,,,,7
2018-04-16 13:31:03.0,-58,,-63,,,-59,-59,,2
2018-04-16 13:31:04.0,-68,-65,-58,-68,-24,-65,-64,,7
2018-04-16 13:31:05.0,,-55,-53,-65,-25,,-59,,7
2018-04-16 13:31:06.0,-65,-59,-55,-67,-27,-59,,,7
2018-04-16 13:31:07.0,-60,-63,-56,-66,-24,,-63,,7
2018-04-16 13:31:08.0,,,-61,-60,-25,,-60,,7
2018-04-16 13:31:09.0,-69,-58,-51,-63,-27,-63,,,7
2018-04-16 13:31:10.0,-68,-49,-54,-68,-24,-64,-56,,7
2018-04-16 13:31:11.0,-68,,,-63,-25,,-60,,7
2018-04-16 13:31:12.0,-59,-57,-59,-61,-27,-59,-59,,7
2018-04-16 13:31:13.0,-63,-44,-65,-62,-24,,-62,,7
2018-04-16 13:31:14.0,,-44,-62,-57,-25,-68,-56,,7
2018-04-16 13:31:15.0,-66,-62,-69,,-27,-62,-64,,7
2018-04-16 13:31:16.0,-64,-61,-67,-57,-24,-67,-63,,7
2018-04-16 13:31:17.0,-68,-54,,-60,-25,-68,,,7
2018-04-16 13:31:18.0,-58,-52,-60,-66,-27,-60,-62,,7
2018-04-16 13:31:19.0,-66,-44,-65,-59,-24,-63,-60,-67,7
2018-04-16 13:31:20.0,-68,-50,-65,-59,-25,-68,-58,,7
2018-04-16 13:31:21.0,,-49,-62,-62,-27,-59,-55,,7
2018-04-16 13:31:22.0,-65,-42,-65,-58,-24,-62,-63,,7
2018-04-16 13:31:23.0,-67,-49,-64,-63,-25,-66,-60,,7
2018-04-16 13:31:24.0,-59,-58,,-68,-27,,-62,,7
2018-04-16 13:31:25.0,,-48,-57,-63,-24,-66,-63,-67,7
2018-04-16 13:31:26.0,-66,-49,,-63,-27,-65,-57,,7
2018-04-16 13:31:27.0,,,,,,,-69,,9
